,photo_id,business_id,caption,label
16,jNCd3r1V5bpD3jrlPrzFJQ,tTNGEXBBOg5fLAfxLKBFPw,07.01.2017 Summer Series Blueberry Berliner Release,drink
17,q4_30_IhtojCgDNnBKicuQ,r_N9LaJuiTaLKIkCAXxM8g,,drink
18,vTNhHlPrPrPnBCg_b2BLjw,J1YFY4tPH3JmwfM4o0p_Ig,,drink
19,QjVlxcNn_WsVGMKE_syD2w,RGEnNXIs__H38xUGZM_-Yg,Rotating pulls,drink
20,CZgY5ZFkrWWObSAhqBuSEw,jMi5SL9vb6nLJGRjw0HK3Q,"Root Beer Drexel Hill, PA",drink
21,p1f144HrV1QQMJyRizNzKw,Akk5eHutsuuukz6GlgT_kw,Hokkaido Milk Tea,drink
22,ZeGkw5gwbxsDFGMPaLLeiA,skY6r8WAkYqpV7_TxNm23w,Fords Gin Distilled In London,drink
23,W3BL4kb6lJBPktD_VwSbhQ,gFApW0S59priCHlZbMPSiA,,drink
24,gR2mDMNv9twDeF_0ffhunA,PlaECqs3oPBRo47p85zkzw,"Have 'em here and take 'em home! Nashville Hot Bloody Mary Mix, Strawberry-Jalapeno Jam, and Cinnamon Whiskey Apple Butter!",drink
25,s5y3z-LjTUkGbuA9DlkwPg,w3qRJpu4aatsmPiSU2ZZAg,"Four stacks brewing, Apollo beach, Tampa Bay",drink
26,_PGpL5wXBAvQIyjER3idvA,QM2R4q0SGdFcpQ8y7wTSiw,Mocha ($5.50),drink
27,nklveE1GI9yyNGmYbleqyg,GQvMNxdE4uCIie4D53tE-Q,,drink
28,Wf0upcujY9wbdHq6Y_gJpw,uu0YLm3zfZ1EyNInLFlt9g,My kind of Library,drink
29,kXCmPwt2AaAb1Xom6N5Pcg,lLOuLDox8qPV0Q5jCX9qtw,6 inch textured cake,drink
30,WwOCRVwhGLxb2z_qL3Ozxg,QrsgwJ2YG73Ry3byIcABVw,Iced Shaken Espresso,drink
31,l9Hl8PTFs_04dGZHz-YyUQ,g5tXcnN30wnSNkuq0MSpaw,Penzey's has spices and some surprise goodies like hot chocolate mix. Photo by Jennifer Litz.,drink
32,7IPNuB7MUw8FdaXkxuNT9Q,8p_D0W23kkn-VC3txhdI7Q,,drink
33,H8L9pWB_fGsSwg7AE5Vq4Q,mJRzLUoa6tTgYgLsWX1gBg,..,drink
34,YCClCt8EUe3XT4AzY6KBLA,BaSwNEingTmrBw4shffK5w,Matcha latte,drink
35,fU6fmHClR0ZfXsQ1weUBIw,FSiPq3GSzHOch1axV8VCKA,,drink
36,lr7q5Q0ujUkChA4qdrmEng,AYx_fO1tdHWIqy6jtVXWaA,Large horchata,drink
37,UftFJjpVjMKByB4e4abQag,OjXIRs2Gm4H6hWo4bC7Qvg,Wine,drink
38,JcXg-TwLoJa3TIzcnvBv_w,PJtI7vmojLrIH1qvFrFZkg,,drink
39,6_R5NIxaHzwoTJWsf3wL4Q,cShGxfd19nuTm9X-kbSwGg,Elder Bull cocktail.,drink
40,sAQkCvXhznEd1YdyA14kFA,HCIMrCc5OBJyTwicV_7GQw,Window Decorations,drink
41,GyzUATo1zo6OGVvmO3mr0Q,gK9CdFaCXmHoW8aLfXiSqg,,drink
42,K2syH4rFOkmxAnGZZ4qeLQ,WwVYDgzRO1KiAu-GRksQ5g,Calm Waters Coffee Fall Latte,drink
43,7oyvK1HUCVSxnoIdlW_haA,SfmQZL7Rgon_qT-hjY-f0g,"Vanilla, Chocolate, or Strawberry.... yum!!",drink
44,NE3HXh_RIEU7GtQeLuOoiA,RPEMUwN_CDRRToQ_7hxsvA,,drink
45,fy__5E8erMSXHwPLJ77mug,uqc5jOWOiPLTPibyy1yI4g,Butterfly Pea Flower Matcha Latte,drink
46,Ft_4w-4VwN7RDz2ohulT9g,SyELo2Uet1VWOpXuE6tPpg,,drink
47,8bhopM5R2LFWwbLgVb9B0A,5DDdiTlpK6Z2fqFs4uSTQQ,,drink
48,IOVHxbCN0QZgQAuWIdUyCQ,IQ3nHWEhLhNS0YW_vDKYEg,We have a back wall of great tasting BBQ sauces and a wide range of HOT sauces too,drink
49,9xn7HHon0vvJu4mUIS5a1g,9KiDjwHiQbHBV6iSTvIz7Q,It's the bomb!,drink
50,v5A8Qt_nDfENbHcQE-YKhw,LH7kN8nAyF2JE5higfK4ZA,,drink
51,L2oBh_aVtngyvYyV3KIn4Q,6Ty-KKWq6hLZYW8DWEHYvg,,drink
52,hMdR_2laLjxwd7LnJBvAUQ,NbQF9RBwBonEq0F3aiolEQ,,drink
53,m35beEbiuyAQi-5i3mxIcg,FrxcwylzrO-ZnzxtiyUdDg,,drink
54,WorBhZ3y1TGpxPk0wFs5Mw,8u70WVawnsReBWNv7IXNSg,,drink
55,j8nDfMwyE3Hw7grOerko_w,mPKqBWLSD8wxJLJ_4juY2w,,drink
56,gmvlSSl0xo3dM-BiBOrj0g,UU2dYQff-cQuECH0vvrvPg,,drink
57,k_TujVKmiXXuH9PwtRbXuQ,DZYSb9amfB3EAh1IdwtbEA,That would be a drink.,drink
58,hNGQDqUr6lg4RYUBV1LxrA,UTg2aZ9zXLK8_0K-UnCVUA,,drink
59,RxfgtLMrF14BFmgHXpMs9Q,uIZwBkvWicqyWraXvYOipw,,drink
60,rX0fp4DBAbeEEViuEksFQQ,p1Y8bMd0ixx1dzj9oTjEOw,,drink
61,GfXWpkL-8IxF0uGdPzwqfA,FjgPNVFrbL924rNUMm8nBg,A flagon of ale!,drink
62,l1G8Garp39MXGr3cIAtBwQ,FIDssW_SyTzhpcm4unCTGw,Bulldogs. Full throttle.,drink
63,AGbD92G1UcFbe97TqxirIQ,euu_JA0YFf63f75uaVSyng,Shine-gria margarita,drink
64,vWn_2Y835fYWM2tbRGdx6g,Q71q-s-BDPn-WCic7lMLtw,,drink
65,9pgR5esKMygoxxGRqpv1cQ,GczZuKVQtsWLUgchZW9L-A,,drink
66,JU4BAqrmx5sUyiyZwo9QOw,mLNSOU8Ki0Fm09xd6ZKkcA,Bubble water,drink
67,i5CYNJtzRuu0VGCnN8jptQ,fVUHXhY6QyQAb64M2pkeBA,,drink
68,cN4wmikvxA2APUcTX9vNyA,dChRGpit9fM_kZK5pafNyA,$20 Manhattan with Dad's Hat Barrel Select Overproof Rye,drink
69,lhJp9tSvSaIz2QVoIlW04Q,4rG4tJF2EC2CfYvBu_uqpQ,,drink
70,LACXJhtyaT3OZ5lQh82-yA,61RiTA-T02sU84FhoCLz_g,tasty cappuccino!,drink
71,4uUrs5SSHdzWYYpOXVJQeQ,2OwnPm3V1D7miij8EHJHAw,,drink
72,nJpMYHeBzw-ZnwPmCpWBXQ,M5rj-zpkCHcGXTxBbcrDXQ,Nitro cold brew and oat milk latte,drink
73,9qTWQ1FPdFRPag7aGebSgQ,M5rj-zpkCHcGXTxBbcrDXQ,,drink
74,FAzjGsFwUxcT6k0mVo1Jfg,CV2NybLmtkyegVvoZ-Ncgw,,drink
75,A-3pwhK5NlfOQVqmzNM0DQ,eoN0GAIRV0WmwUm7FmzKgQ,Cold sake,drink
76,nI2aWHoKph05WQig-sAaoQ,TMibmbDrz81_mwg-jgs5Ng,,drink
77,D104-u8mLMUaTVg5YvsZ2A,fLDI6tGJNHfR_jYcP0ejCg,,drink
78,qIIQnK_YWGT-tihfJcjatw,OUGtoLtqdPImwjlMNHyhVw,Lots of interesting wines. Be ready to taste and enjoy!,drink
79,54ASKYRv0XdhneP2LQ9cBA,IXcZH4PvJZiN9fR2BZbsxA,,drink
80,Vq_Kso6EjBzrcihP1A1sfA,ZNWox30LIv7hV5k5YP8tCQ,,drink
81,Up7dv9Sw_LPOPWjvYd9gfA,c8rjE6NcfeyzLB_aU1GdMA,,drink
82,vzteHOjMs2eCI2nJYjAK3A,2Kl1a7JOZMSMz3xEbUZsNQ,,drink
83,locfvoan0RizNOU0EiLq5Q,bW8D7Q1LAEehQshsaypkCg,Irish coffee.  Be careful it was not lacking in taste or whipped cream.,drink
84,KRBSMfW2cZKfzDhRWFnc0w,RCh0wxJqytmO1F-yh_Fnxg,Amazing Pino ! :),drink
85,SqLNmJllOYtrZbnefAZUYQ,2VPX222bhizLlWZrLQL3PQ,,drink
86,mDsb9M0jTojvBE5mfvzStw,kNcrmaQNneyioUg1MY9ZqA,Strawberry Yakult,drink
87,5Sc_6XPMbAik4FJfOpvVew,QMo3URjgmyY_jU9GtYfxtA,,drink
88,IzPUDRb0V97N9RDkyIENlQ,aOHNMIs-N591irOmxQfbFg,Doodle cup of the delicious morning liquid of life!!,drink
89,VtBEW_qdPfDobYuqcr0ivA,PzqwENhkS_x5Czwn-dV6fQ,Star dust,drink
90,ay2HXHHJVoV2nsXH85T4Qg,-qBwKdTHaYClas69Y5biWQ,Brown Sugar Deerioca Milk and Antler Milk Tea,drink
91,ZAbmJ4q9mnc3JjSOKYcTPA,5WNohYDxnUF_zx8d_MxlbA,Multiple mixers,drink
92,jDGCPvVzu2bpsp2-JKk_ew,YD9-VUxnobct_Jv4E9SAvA,Tea for sale....,drink
93,FT97ia5TUTebfv6wlD0Mlg,NAONCnQTKzBl40hQ0oFYgw,,drink
94,6tF-OzzBj98b4REdGDrTnw,L7cO2qZurrt-7SLl2oDSrA,750 sour for carry out,drink
95,QCJp7WEl46CnK0SpRQIR-w,0kEyHYpI6ixtq87LV6I1Aw,"Texas Margarita made with gold tequila and fine liqueurs, served on-the-rocks or frozen.",drink
96,OYwpXq6Ng3kvB33OpFBHIw,VFaIfVHLAJduhiBeZ3TlUw,"""The best juice ever"" -says EVERYONE always",drink
97,3RLo5sL-cJLjtVYci41qkA,WQ1oZ11HbYL7K7kj62ttAw,,drink
98,jqxuSpaYHPm2nnQ1JmxQCg,oqbhVgliVJH-iRa3AnD-3A,Great Place!  We will call this our place from now on.,drink
99,TQw6-AmSVTOWUcMR3gbAiQ,xNSKcTpCFIx-GN65Mlf2ag,,drink
100,git9-2XWZ2BdCI7ZxYNuJg,PrqnVokpplB1Lt-fkBILTg,Venetian coffee!! Yum! And unsweetened iced tea,drink
101,4mXcURo9N0t57JUAxD5cZg,j_wOxQrfgJKQdL4G5u8_1A,homemade nut mylks,drink
102,6oqmPK0rVqvkhbl88jL4RA,itAhmbhHOyQQparfwicjDQ,,drink
103,KtnOG5J2_4O6jBbaq7bt_g,QeXFEumHJlJ-SqKt5iATZg,16oz Margarita,drink
104,3akW9AgV5ff6KUQoyxVWFw,KFRBenM46UV0RMfuhqutxQ,First Love (passionfruit and red guava green tea),drink
105,0IekpU3xrsOrFbjQT1EFuw,tdXYmpPzMuBzm9bN46PG3w,,drink
106,y_g1DeKgEYPLYxYxO4-U5g,_d4oswY38HTB5UWMMEt_jA,International Girl - French 75 (w/ Cognac) + Rosé Twist,drink
107,RcTs-u1fa1PtCXG8EXHPug,J4Lj1Mag6ODDmP0kuRnEZw,,drink
108,mQan4xu9FZUB3EVvfXRpRQ,eM-unjTl2rG-96N46qlveQ,Strawberry Smoothie,drink
109,7YkMpfvDkOMT5isWqKK79w,qe5fWtR9u-Pqg1pJBR5G0g,,drink
110,LP422W47qHKpjZkI6fOw8Q,A_ZeOVoEKM7P8BdoxrWyXw,:(,drink
111,e6fSn9cJcwRLBRFZK1PdzQ,fEWUDSiySYTsD-QhltxUeg,Spicy Jalepeno Cucumber Margarita... spicy!,drink
112,tgpVDtmRcv8CxUjNUP1_bw,TVv-Rijul-b1GoIZ_zq-7Q,Smoothie,drink
113,15PpTXON6RN4qI9eCAlDAw,EptWzik5Jo9OVlXBUk-2RQ,,drink
114,oV_flchRxFaQc8M5ndyI3g,jOpBrpqfkzuReEPi_NxjeA,This is what a half glass of Rum looks like. They pour em strong!,drink
115,4hopyzi96FSNWsHpS94eRw,TvbJq1a1Xto5w6t4zMUYHQ,The bar,drink
116,pkkUbhkQCt1hGzdKTnRlfw,or4XkblYRyXHxKJuKbhx_Q,Pineapple juice,drink
117,-32lR19VYAZQok6Z8tN_9w,RQcuGe28Q8laCF1w1aBYiA,"Blue Basil Beauty Smoothie (Gluten Free, Diary Free and Vegan) A refreshing smoothie to fuel your day. We blend Banana, Dates, blueberries.",drink
118,B83BHh1RS08gMnIYiUNNOA,S7j0kVAX9lIb9gIT2VqhBw,,drink
119,GQUsJ0iAmXE8OEm2lFUUiw,W72rYffSVg0pIaOpRgNniw,,drink
120,2j_9wHH6IzWHOdoG5GNgkA,S-pwdOmtIPL2UCjQEvKROg,,drink
121,nd-GwS8b8WNHlHMSoaz6wA,x8AQIEjSqsW0z4vRyBetbw,Cheese foam boba thai coffee,drink
122,r5-s--ammpEvZKa2mCaziQ,d5WQMTNea__i3nUjz2qYdA,,drink
123,5jRyQbabRswrHUqHeYWF1g,8SOgWpYKJgiEfTuyXKGdHw,Hot sauce to go,drink
124,wOnxt9eKaaHjyjl-s15zCA,UTg2aZ9zXLK8_0K-UnCVUA,,drink
125,rvC7f7p9NyO293IUNB1JoA,BfQ4W2cNB2ZSd7yaAhE_BA,"Easily one of the prettiest hangout spots , this place has a bunch of interesting cocktail options to choose from.",drink
126,q7Vn75L70LHOLiaoyqQm2A,-NZAlu3TfzLLR_VUe6U3kQ,,drink
127,KbGyHqL9wacfc3S22XASaA,qocU5Vd9Q_82pmJTg1UlrA,,drink
128,cj-NZlhq9-7Drjh8BKjSaw,zd4yd841uPIpdY7D-LP3LQ,,drink
129,M9eX_R-mwi8c2eWbswo3zA,xiBnTS5DPVMlySrCpF59Ow,,drink
130,gYAQQfd1TiQeqHAXoJBmxw,2CRA8cPZFmym0ah-junNcQ,"Sampler of Alt, Fest Pumpkin and Rye IPA. Fest and Alt were disappointing but rye red IPA was spot on.",drink
131,8AtEnDDEkjA2hKdZkZfpJQ,YhpUIN4ByTEMdFbWJvIB9A,Italian Greyhound,drink
132,lDukpbHfK_tF0692rUqXLw,aTOCTSi1GwigOEcqOKRwFg,,drink
133,qN60hPsKoWaCMpjAsfGoFQ,COUrys3dxus7M56NH06zZg,,drink
134,msrE_DLJImsyCS7vuWRUzg,nLZh_-z9cMpCxSIumEXwrg,Some of our haul from the grocery store.,drink
135,fek1MVv0W8mqvKS5gzGgew,2GwrhnUq7qvX08_31aRiSA,,drink
136,pfqt8X8ayYUKEFqK0K0YTw,MlXH9dWYDFEBbwuGStlfZg,Triple mocha almond milk latte. Made with unsweetened chocolate.,drink
137,SyirWfb_RB45tgIEFJqmxg,PlaECqs3oPBRo47p85zkzw,FISHBOWL,drink
138,sr7chnztZyk6walzovBzjg,A4-2jEraYJ2w2grn_uXlHw,,drink
139,-FJvVGgkcyRNgeyBJLcSvQ,R32_LaNcLXyS2-dtrcuBGw,,drink
140,Cs7yo7J-v93PfyaR7eNNig,PQWm36WjJFS0u-KgoHZVcQ,,drink
141,FU_4yfKRx7fyY8nE2-OpOA,EBonJ5tjkxBEUezwosVlLg,,drink
142,hX5yagXU7TexSG4VYwbjYQ,ERl6OCSEIFBOqfjai_jIUg,,drink
143,eKuggVoIN1bjQPcHizGAGA,NU4aYHcz4fWRIoe9cydxTg,Supposed to be a jackhammer,drink
144,yeJ7J-deQaOXeO_zRRq0SA,hEWLqdYARUZE3Jn4ma5zvQ,,drink
145,3Oh6DzfbCep5Sxff-6HNYw,waLd1ruvJl_Ur0lVFxEzrw,"Taro with Biscoff, Oreos, and sprinkles",drink
146,3CFU6kmddUzVsIinzUH82A,fC03dk7N8XV-RzGh0UJgmA,,drink
147,GvDK6pAGe-j6aAYez2mbUw,yPxNNSmPHKO3m_kq53D4Jg,Cactus pear and sweet Amish milk. Incredible.,drink
148,dk1WQHb5ym1z_DNX7NRbhw,9CRWWbw3iOo4-9FMAO6nKw,,drink
149,4KTbvXhfb8JKFY8G3nkwSQ,9N-XAq_LjfCXL2tFp2rbKg,,drink
150,Nb3wrR3D84ZpxaOdqXnFoA,sBREjOvYJ0xI259WU-j5CA,"—  APPALACHIAN SOUR  — Jack Daniels, Green Brier White, Lemon Husk, Charcoal, Egg White, Sorghum, Gold *Photo by Angelina Melody",drink
151,1AhEb71sQKZlPP8hii_oIw,449No3H5g8AsuGssvy36eQ,Vodka Gimlet & Aviation - Superb!,drink
152,qztGYq-fXweqZcuq76swLQ,QFzfm7Xe8i_7M6oS08c9YQ,CALrosso Wine,drink
153,PWQ_HsfKUxSpT-KmdjaL2g,-RkGrQUxlwgaR5By4p2tAQ,,drink
154,lNVo_vna80zmLyTVZz9fMw,IeSD0nMKRFYUTnR5nZH1CQ,Contortionist,drink
155,nnxMoTZk1y30NK0Cta-v8w,-ejuzGbu3ZHUndhLTQafJg,Del Santo Margarita,drink
156,IqtZtVYQFmSNfw8HHud2Fg,dsfRniRgfbDjC8os848B6A,,drink
157,09V6I9jXdCZlON0bE79v8Q,14qJA3j7Ut5_mQ691BT8aA,50% off all wine bottles on Tuesdays!,drink
158,pghT7yxWkGqkHnGPA-fTRg,XnVmNQdmyhdCC90FRY9ZJQ,,drink
159,A8Z9s4FJH6l2xCynA2Q9Yw,Icu-z8o386uHuj0bB345Cg,Had a fantastic birthday dinner this evening! Jorge was wonderful!! Fabulous service. Amazing dinner! Thank you!,drink
160,nTjuzFTbXf5KDE-zr3eTsA,XXXpyqzP0B2i8J2eWr2Zig,"Frozen Bahamarita - Frozen Margarita, made with tequila, kiwi melon, strawberry and mango ices. With a shot of cactus juice schnapps.",drink
161,4dMC3DbfgLj_BcZlvVpIlQ,GzXA_ltTw34ViN5pSUkfoQ,,drink
162,QHCZZEhGvhR2_rVQKYi34Q,zpw_DlkyGrDT6IJEMrhAMQ,Quality testing our Boise Pint Glasses,drink
163,bdtmWbdi6PRn_M1-aHYjcw,jStt26nV-CBWRGxjqCzxUw,,drink
164,mV4j829g7qaIgyMZcJM1SQ,-mitV3FhrCz3m2wk8ldKDg,Peanut butter milk stout,drink
165,qnG7n7rCXg2LLichozYu2Q,SYffIaST3GI1FNXk9A_uwg,Upland Sours!,drink
166,lA-tZNck_axSDT130R22pw,CMnrIvac5TRbYnUJgKHupQ,Help from my friends,drink
167,Fvhu9p62iZETcsb9LGpSsg,Tf_Oj8uWRvXmqkEmntzTdA,Espresso martini,drink
168,VkK0WPyo1Hriu5fNnL-ENw,MgQbdvwKXEJC-LvySLlabg,,drink
169,-WxQLxZphINFHUHwZPnwJg,l4IeGBHXV2E8S8COd9rx9A,,drink
170,erJtLlvZL1mQyVKMqcH3UQ,eltuhV8KTDIhqdYgAyknAw,We are here again,drink
171,1Y42VVR4Ls8yfLc2xA3WTw,rhe60AwSzlSbYQuTFZ7RkQ,,drink
172,JxpE-4FgKL5arFz6O7PtBQ,Yv9KUZ-N3otoKUtToPPxAg,Apple cider mimosas and the mystery man!,drink
173,P_bqMUEd9Bz4AyXQITgVmg,phdDuLmqk1QsllQ6_5eBpg,Lavender Lemonade (pre-mixed),drink
174,S6yLJttbiHil3xLoISTc6Q,eICX3HkEASZ3B2uzG4nvJg,,drink
175,QSNVQXNlPIo3F-cLoEjZrQ,deAXOKrUqydpts6xcbhMwQ,,drink
176,0kLr42B0VrfWD34GYYtdoA,3R-DJGoG2IPzr_SiPMtmeA,"Fresh squeezed OJ | Brunch | The Mill South Tampa | February 20, 2021",drink
177,9-6yctNCNOFjVN5bUiiKRw,ow7hDGkfVJH65nniXH1a0g,Artisan cocktails for the win.,drink
178,FD1BjCtGzyypcFmKRKk65w,r5--kPhTvamXmN7ZMbUUYQ,,drink
179,7pRyS9oK7JAp4owFCgamLA,ZIfvFrdyT1L9mS-NpGhuMA,,drink
180,jqwH4gRTO_0_QkpiSivDvg,AqX_5srdyAS1tNiqC3mDvg,,drink
181,qX1kNSy0z1TlJHnwwpHGbw,BO4SGeOWoFhnypKv9xvL6w,,drink
182,KHG3xkMwk3UDjoeYxmXqyw,O3jPfTDRn5_1O3ZM_LuxQw,Took home these 3 delicious tasting wines!,drink
183,rMEq4bBZBQeegV8AHNQgbg,tszRCO-RchPXPZlsTCYgbA,Dos Equis Amber with extra lime!!!,drink
184,1Y5uWH_-z0u4md5-U9FYdw,ReVpjIDupK_VMPn7ZxPvOQ,,drink
185,m2pEuaGapX7FDBQpLKs5Qg,hE7qiM3JemaWU981XxCb8g,Interesting and tasty flavors!,drink
186,wj1s0PLJAQthM5hnPBTwdA,3Vrad15d3I7m5-0uvGJgUw,,drink
187,g5si1F3oQOsbDit2haw4rA,YrVz82RplLG3t9u5IRGTgA,Public House,drink
188,sMYouFDU9yXaT4zREclj1A,6sPsShCjU5L_DiV5VoLfvA,,drink
189,wLYfQimkSUdTDXmZcf-GWQ,tavK8PX3ysc8DRFEB8AlTA,Sours!,drink
190,m25VkRqwDgAakaNFJmH_sQ,vdoA5t_zL0nTTww1PQkTVw,,drink
191,yKIvMYRDzRCdKmqTSk3ZqA,7_QSRB1ISoSB9L3zpYE6sg,Kicking Bloody Mary,drink
192,0GJT07W8Gae4g4JchF3isg,swUT7AsP776D0XEBQrSznA,Frozen Margaritas,drink
193,-EewSc4uPZO7BpLs3YVrCw,opOX9Ys-49bPKGnXQMOOEQ,,drink
194,wBYkmS0t5eZ0XYr8A4lJfQ,KO5aN2ck1jQ6WVqBFZrCNA,,drink
195,CnoLmT0UEwNHa0-E7jriag,rTng9EtHrqu_nmLfGWFjyA,,drink
196,-ZVPDTIXIZqUJh_dQQddcg,-PTWFicakClBDK-zyQ5hjA,Morning meditation,drink
197,76JhmkE7kValGn75L87wrw,PQWm36WjJFS0u-KgoHZVcQ,,drink
198,D8o41HlbGkjnGX1gpQsTqQ,MNI5KDlT5ErW7uuG4xgNew,,drink
199,wvPPnzJP4QiffBVMrX0iaQ,0k4DwDhzlk9ORH81f8KzNw,Cab,drink
200,CxIsa13uVV6XWKyOOTbYhg,Kp-oPqTLqsdBRckvbEwnMw,,drink
201,4XR7IESPICQmbpL2Nxo9Sg,6Ty-KKWq6hLZYW8DWEHYvg,Pat OBriens Hurricane,drink
202,GIo2iigDG6PTznUbyoW5Yg,Tz36ybiNcF6X9wxEFZ4J4g,,drink
203,ssmqkiNq0exjWypIw47igw,q2rR-v9ZStix89t7ihyuqg,Marg pitcher,drink
204,JuCOFLf0iIJXPyoFogusjA,-kRlJ5_TxIeHoqNSMNBlEg,"Craig Burkham's ""Amazinha""  Photo by Joe Castello courtesy of Reno Tahoe Tonight Magazine",drink
205,Ne68TmnoQxBGns09wKGPKA,s4k1P9FHfPUzw3dqXRp7eA,,drink
206,Q6LiHbC9drLZotyq7_m3lA,UTg2aZ9zXLK8_0K-UnCVUA,,drink
207,3xSG-XOkPvlFnlYUxjVtvA,wcmatdiNPFeo6HKNNF97Ww,Lighter IPA for a hot day drinking outside,drink
208,eh73QpgvyrHa_HUtJ6sf0Q,ta5Oi3sezvn4H299MbtE8Q,Chilcano with pisco cocktail- refreshing,drink
209,Bri8urwvse8cYlyvDeVHXw,0vTc7-wiDBDKKmGvC0EzFg,,drink
210,pUDBtba4Vef1HZSoO4IW6A,PWWGbkPC_agn-4s1Hv1W5A,,drink
211,CuExn1FgCpzO6C8yr5yZGQ,hgufQMEwGMg_m18JnRP0vA,Pineapple smoothies and avocado smoothie,drink
212,gTpgGzlJlr6YEFIGPa7O-Q,AKAt17U4LQtz_Ro4RoofjA,Iced Shaken Espresso,drink
213,Ou9TDlkWLqpypPztizuyhA,Dty7fGIonmXOmvZhnMAOQQ,,drink
214,ErXiKZQT-vvyHttlVb7BTg,XQoSWEyIGHMIZKxLZOpXSg,Lo Tide @ RSL,drink
215,wUYn7WN_wtCiMArctxhcGA,IBWzg15XkNO25hOpQHM7ig,,drink
216,QcZzmuzz-eyQlekotAF5OA,G_bi7l0nU74I4Vr1V7IcMg,Ube and ube/matcha swirl with fish cones,drink
217,11rwk4GExxK-Ax3kgnJLKQ,pG3BViWKznBrEPlbV9wxPA,,drink
218,6kb7m5lv4emFWfQs8ESMFg,3hrEWKJxJUwEBmzw8oUYHw,Brugge Black is my favorite!,drink
219,3uVYQtxWlVub2-9Tvdn6PQ,Ef9jqvIH44oHlYnaIFlzxA,,drink
220,ok4qkcQfIHfr4AO5qMJkIA,upvlaZ3WCBCkdUCKLMdMjA,,drink
221,hTDbJvhCSdRq7a6I50OD9A,gK9CdFaCXmHoW8aLfXiSqg,Alien Church so good... But antiquated growler refill policy.,drink
222,_9PkCRZ-Gn8usINeCjh4DA,TQ114E0Rg0Y-v7IM114YCg,,drink
223,OYhjnwZgzdBWu0gNrbW94w,_C7QiQQc47AOEv4PE3Kong,Chef's Playground: Tequila,drink
224,HSjN-4lReAy0JqpqocVJkw,R5cF_kxMo_R0QlPrMAElcQ,,drink
225,8l7zbW0Qo1FM0b6SuvVAhg,qkMMkIdghXUiN7eMNSpiHg,,drink
226,lCcxfd5vG25sxzIf69qTXA,iWIu2qrim1PSNE0CRLyqpg,"I know SEVERAL people who need to eat a slice of...errrr, I mean drink a glass of this...",drink
227,mY4tY4wTjBI46PioE3v1aA,x3qabj6zIZK_ist3f5ztgA,Thai milk tea with boba,drink
228,UaisZd6-yOQAtygnsjFMNw,cPepkJeRMtHapc_b2Oe_dw,,drink
229,aG8Gtj0qUEd1QhsztA1LBQ,9YxqrKuDxwbMqcbKmTQFtQ,,drink
230,b2Z_mH6elUbFfZ__rFmxWg,R3T_74k4uj2R6chmCruY1Q,Beer,drink
231,lsS_vLOj9KDhvkLAfuA9Sg,uuYanMLNJzdpaYB83szcEg,,drink
232,7NGKHVDL_lDvdTwEuk2KWA,q9YjRPDV98hHNvp_5iitCw,,drink
233,l8oi_DP0vBXBl0RG4m9eIQ,qFjWJYF-q-IbrsJXfHL90Q,,drink
234,RGR9zxMi4efDzGcBTRJDNg,r2MZMvVRZBWXOmxgoFuitA,,drink
235,xv-0nOC7PHUqedTreMbF5w,Vz2RN55rTJBGn43K1v84nA,,drink
236,B3bHtsBqBJMqav7JTtZOPg,vF-uptiQ34pVLHJKzPHUlA,Paul's Hellas,drink
